DateTime,Time_x,Error,WEC: ava. windspeed,WEC: max. windspeed,WEC: min. windspeed,WEC: ava. Rotation,WEC: max. Rotation,WEC: min. Rotation,WEC: ava. Power,WEC: max. Power,WEC: min. Power,WEC: ava. Nacel position including cable twisting,WEC: Operating Hours,WEC: Production kWh,WEC: Production minutes,WEC: ava. reactive Power,WEC: max. reactive Power,WEC: min. reactive Power,WEC: ava. available P from wind,WEC: ava. available P technical reasons,WEC: ava. Available P force majeure reasons,WEC: ava. Available P force external reasons,WEC: ava. blade angle A,Sys 1 inverter 1 cabinet temp.,Sys 1 inverter 2 cabinet temp.,Sys 1 inverter 3 cabinet temp.,Sys 1 inverter 4 cabinet temp.,Sys 1 inverter 5 cabinet temp.,Sys 1 inverter 6 cabinet temp.,Sys 1 inverter 7 cabinet temp.,Sys 2 inverter 1 cabinet temp.,Sys 2 inverter 2 cabinet temp.,Sys 2 inverter 3 cabinet temp.,Sys 2 inverter 4 cabinet temp.,Sys 2 inverter 5 cabinet temp.,Sys 2 inverter 6 cabinet temp.,Sys 2 inverter 7 cabinet temp.,Spinner temp.,Front bearing temp.,Rear bearing temp.,Pitch cabinet blade A temp.,Pitch cabinet blade B temp.,Pitch cabinet blade C temp.,Blade A temp.,Blade B temp.,Blade C temp.,Rotor temp. 1,Rotor temp. 2,Stator temp. 1,Stator temp. 2,Nacelle ambient temp. 1,Nacelle ambient temp. 2,Nacelle temp.,Nacelle cabinet temp.,Main carrier temp.,Rectifier cabinet temp.,Yaw inverter cabinet temp.,Fan inverter cabinet temp.,Ambient temp.,Tower temp.,Control cabinet temp.,Transformer temp.,RTU: ava. Setpoint 1,Inverter averages,Inverter std dev,Time_y,Fault
2014-05-14 14:39:00,1400096384,0,5.699999809,7.400000095,4.099999905,9.979999542,10.22999954,9.720000267,0,0,0,-84,881,939053,6,0,0,0,416,416,0,416,9.760000229,26,26,26,25,26,25,27,26,26,25,26,-14,0,-50,15,14,18,33,33,32,166,165,166,32,33,34,34,15,15,17,23,14,35,23,27,17,26,35,34,2501,25.81818199,0.603022695,1400096384.0,GF
2014-05-14 14:50:00,1400097024,0,6.400000095,8.600000381,2.700000048,4.119999886,10.71000004,0.699999988,0,0,0,-80,881,939053,6,0,0,0,613,613,450,613,45.72000122,26,27,25,25,27,25,27,27,27,25,26,-14,0,-50,15,15,17,33,33,33,166,166,166,31,32,35,34,15,15,16,23,14,36,23,27,17,26,35,34,2501,26.09090996,0.943879783,1400097024.0,GF
2014-05-14 14:58:00,1400097536,0,5.599999905,7.5,4.0,9.989999771,10.19999981,9.800000191,0,0,0,-86,881,939053,6,0,0,0,381,381,0,381,7.239999771,26,26,26,26,28,26,27,26,28,26,26,-14,0,-50,15,15,18,33,34,33,166,166,166,32,32,36,36,15,15,17,22,14,36,23,27,17,26,35,34,2501,26.45454597,0.820199549,1400097536.0,GF
2014-05-14 15:09:00,1400098176,0,5.300000191,6.599999905,4.099999905,9.979999542,10.17000008,9.789999962,0,0,0,-90,881,939053,6,0,0,0,335,335,0,335,5.920000076,26,27,26,25,27,25,28,26,26,26,26,-14,0,-50,15,15,19,33,34,33,166,166,166,34,35,39,38,15,15,17,22,14,36,23,27,18,26,35,34,2501,26.18181801,0.873862863,1400098176.0,GF
2014-05-14 15:20:00,1400098816,0,5.099999905,7.199999809,3.799999952,9.989999771,10.17000008,9.800000191,0,0,0,-88,881,939053,6,0,0,0,294,294,0,294,3.819999933,26,26,26,25,27,25,28,27,27,25,26,-14,0,-50,15,15,19,34,34,33,166,165,166,35,36,41,40,15,15,17,22,15,37,23,28,18,26,35,34,2501,26.18181801,0.981649816,1400098816.0,GF
2014-05-14 15:30:00,1400099456,0,4.400000095,7.099999905,1.200000048,6.170000076,10.18999958,0.0,0,0,0,-74,881,939053,6,0,0,0,222,222,2,222,37.41999817,26,27,25,25,28,26,28,26,27,25,27,-14,0,-50,16,15,19,35,34,33,166,166,166,36,37,43,42,15,15,17,22,15,38,23,28,18,25,35,35,2501,26.36363602,1.120064855,1400099456.0,GF
2014-06-04 08:09:00,1401887360,0,7.199999809,10.0,4.099999905,10.77999973,13.27000046,8.819999695,1005,1910,518,-29,1298,1174098,9,2,12,-9,1007,1007,1007,1007,1.0,27,27,26,26,27,26,25,27,26,24,25,-14,0,-50,15,22,28,30,31,30,166,166,166,48,49,65,65,12,12,15,17,15,30,22,27,21,25,31,40,2501,26.0,1.0,1401887360.0,MF
2014-06-04 08:20:00,1401888000,20,7.099999905,9.800000191,5.099999905,10.59000015,11.93000031,8.220000267,916,1331,0,-29,1298,1174217,17,4,38,-69,922,914,921,922,1.230000019,27,27,26,26,27,26,25,27,26,24,25,-14,0,-50,16,22,28,30,31,30,166,166,166,48,49,65,65,12,12,15,17,15,30,22,27,21,25,32,40,2501,26.0,1.0,1401888000.0,MF
2014-06-04 17:00:00,1401919232,50,8.899999619,13.89999962,2.5,0.629999995,1.460000038,0.0,0,0,0,-33,1298,1174217,17,0,0,0,1704,1704,1704,1619,80.98999786,21,22,22,21,22,22,21,23,23,21,21,-14,0,-50,18,19,20,23,23,23,167,166,167,26,26,28,27,16,16,14,14,15,17,18,19,17,17,19,27,2501,21.72727203,0.786245346,1401919232.0,MF
2014-06-05 15:50:00,1402001408,0,6.699999809,8.300000191,5.300000191,9.300000191,10.19999981,8.600000381,612,812,470,168,1317,1183031,51,16,26,6,610,610,610,610,1.0,25,27,25,26,26,27,25,27,28,29,31,-14,0,-50,21,25,30,39,39,38,166,165,166,51,51,63,63,15,15,20,23,18,32,27,34,15,22,30,37,2501,26.90909004,1.868397355,1402001408.0,MF
